"";"carr";"gene";"estr";"orig";"age"
"1";"Biol";"F";"alto";"Bogo";17
"2";"Biol";"M";"medio";"Bogo";17
"3";"Biol";"F";"bajo";"Bogo";18
"4";"Biol";"F";"bajo";"Bogo";18
"5";"Biol";"M";"medio";"Bogo";17
"6";"Biol";"F";"medio";"Bogo";17
"7";"Biol";"F";"medio";"Bogo";17
"8";"Biol";"M";"medio";"Bogo";17
"9";"Biol";"F";"medio";"Bogo";19
"10";"Biol";"M";"medio";"Bogo";18
"11";"Biol";"M";"bajo";"Bogo";17
"12";"Biol";"M";"medio";"Bogo";17
"13";"Biol";"M";"medio";"Bogo";16
"14";"Biol";"F";"alto";"Bogo";17
"15";"Biol";"M";"medio";"Bogo";17
"16";"Biol";"M";"medio";"Bogo";18
"17";"Biol";"M";"medio";"Bogo";20
"18";"Biol";"F";"medio";"Bogo";20
"19";"Biol";"M";"alto";"Otro";17
"20";"Biol";"M";"medio";"Bogo";35
"21";"Biol";"M";"bajo";"Bogo";20
"22";"Biol";"F";"bajo";"Bogo";19
"23";"Biol";"M";"alto";"Otro";17
"24";"Biol";"M";"bajo";"Bogo";19
"25";"Biol";"F";"medio";"Otro";17
"26";"Biol";"M";"bajo";"Cund";17
"27";"Biol";"F";"alto";"Bogo";16
"28";"Biol";"F";"medio";"Cund";17
"29";"Biol";"M";"bajo";"Bogo";20
"30";"Biol";"M";"bajo";"Otro";16
"31";"Biol";"F";"alto";"Cund";16
"32";"Biol";"M";"bajo";"Bogo";21
"33";"Biol";"F";"bajo";"Otro";20
"34";"Biol";"M";"medio";"Cund";16
"35";"Biol";"M";"bajo";"Cund";17
"36";"Biol";"F";"bajo";"Otro";16
"37";"Biol";"M";"bajo";"Cund";17
"38";"Biol";"F";"medio";"Otro";16
"39";"Biol";"M";"alto";"Cund";17
"40";"Biol";"F";"bajo";"Otro";18
"41";"Biol";"M";"bajo";"Otro";18
"42";"Biol";"F";"medio";"Otro";16
"43";"Biol";"M";"bajo";"Otro";17
"44";"Biol";"M";"alto";"Bogo";17
"45";"Biol";"F";"medio";"Bogo";16
"46";"Biol";"M";"alto";"Bogo";19
"47";"Biol";"M";"alto";"Bogo";16
"48";"Biol";"M";"medio";"Bogo";19
"49";"Biol";"M";"medio";"Bogo";17
"50";"Biol";"M";"bajo";"Bogo";18
"51";"Biol";"M";"alto";"Bogo";17
"52";"Biol";"M";"alto";"Bogo";18
"53";"Biol";"F";"medio";"Bogo";18
"54";"Biol";"M";"bajo";"Bogo";17
"55";"Biol";"M";"alto";"Bogo";17
"56";"Biol";"M";"medio";"Bogo";16
"57";"Biol";"F";"alto";"Bogo";17
"58";"Biol";"M";"bajo";"Otro";16
"59";"Biol";"F";"medio";"Otro";17
"60";"Biol";"M";"medio";"Otro";17
"61";"Biol";"M";"bajo";"Otro";16
"62";"Biol";"F";"bajo";"Otro";15
"63";"Biol";"M";"bajo";"Otro";16
"64";"Esta";"M";"medio";"Bogo";17
"65";"Esta";"M";"alto";"Bogo";16
"66";"Esta";"M";"bajo";"Bogo";17
"67";"Esta";"F";"alto";"Bogo";16
"68";"Esta";"M";"medio";"Bogo";17
"69";"Esta";"M";"medio";"Bogo";30
"70";"Esta";"M";"bajo";"Bogo";17
"71";"Esta";"M";"bajo";"Bogo";17
"72";"Esta";"M";"medio";"Bogo";17
"73";"Esta";"M";"medio";"Bogo";17
"74";"Esta";"F";"bajo";"Bogo";19
"75";"Esta";"M";"bajo";"Bogo";17
"76";"Esta";"M";"medio";"Bogo";16
"77";"Esta";"F";"medio";"Bogo";17
"78";"Esta";"F";"medio";"Bogo";16
"79";"Esta";"F";"medio";"Bogo";16
"80";"Esta";"M";"bajo";"Bogo";17
"81";"Esta";"F";"alto";"Bogo";16
"82";"Esta";"M";"bajo";"Bogo";19
"83";"Esta";"M";"medio";"Bogo";17
"84";"Esta";"M";"bajo";"Bogo";17
"85";"Esta";"F";"bajo";"Bogo";16
"86";"Esta";"M";"bajo";"Bogo";16
"87";"Esta";"F";"medio";"Bogo";16
"88";"Esta";"M";"medio";"Bogo";39
"89";"Esta";"F";"bajo";"Bogo";20
"90";"Esta";"M";"bajo";"Bogo";21
"91";"Esta";"F";"bajo";"Cund";17
"92";"Esta";"M";"bajo";"Bogo";19
"93";"Esta";"M";"bajo";"Bogo";20
"94";"Esta";"M";"bajo";"Bogo";16
"95";"Esta";"M";"medio";"Bogo";18
"96";"Esta";"M";"bajo";"Bogo";25
"97";"Esta";"F";"medio";"Cund";16
"98";"Esta";"M";"bajo";"Bogo";31
"99";"Esta";"M";"bajo";"Otro";17
"100";"Esta";"M";"medio";"Bogo";18
"101";"Esta";"M";"medio";"Bogo";30
"102";"Esta";"F";"bajo";"Cund";17
"103";"Esta";"M";"bajo";"Cund";22
"104";"Esta";"M";"alto";"Cund";17
"105";"Esta";"M";"medio";"Otro";17
"106";"Esta";"M";"medio";"Otro";16
"107";"Esta";"F";"alto";"Otro";17
"108";"Esta";"M";"bajo";"Bogo";16
"109";"Esta";"M";"medio";"Bogo";16
"110";"Esta";"F";"bajo";"Bogo";16
"111";"Esta";"M";"medio";"Bogo";17
"112";"Esta";"F";"medio";"Bogo";15
"113";"Esta";"M";"medio";"Bogo";16
"114";"Esta";"M";"bajo";"Bogo";17
"115";"Esta";"M";"medio";"Bogo";16
"116";"Esta";"M";"bajo";"Bogo";19
"117";"Esta";"M";"medio";"Bogo";17
"118";"Esta";"F";"medio";"Bogo";22
"119";"Esta";"M";"medio";"Bogo";17
"120";"Esta";"M";"alto";"Bogo";18
"121";"Esta";"M";"bajo";"Bogo";17
"122";"Esta";"M";"alto";"Bogo";17
"123";"Esta";"M";"bajo";"Otro";20
"124";"Esta";"M";"bajo";"Otro";18
"125";"Esta";"F";"medio";"Otro";17
"126";"Esta";"M";"medio";"Otro";17
"127";"Esta";"M";"bajo";"Otro";18
"128";"Esta";"M";"medio";"Otro";17
"129";"Esta";"M";"alto";"Bogo";17
"130";"Farm";"M";"medio";"Bogo";17
"131";"Farm";"F";"medio";"Bogo";16
"132";"Farm";"F";"medio";"Bogo";17
"133";"Farm";"F";"medio";"Bogo";16
"134";"Farm";"M";"medio";"Bogo";17
"135";"Farm";"M";"medio";"Bogo";18
"136";"Farm";"F";"medio";"Bogo";18
"137";"Farm";"F";"medio";"Bogo";19
"138";"Farm";"M";"bajo";"Bogo";17
"139";"Farm";"F";"medio";"Bogo";17
"140";"Farm";"F";"bajo";"Bogo";17
"141";"Farm";"F";"medio";"Bogo";16
"142";"Farm";"F";"medio";"Bogo";18
"143";"Farm";"F";"medio";"Bogo";17
"144";"Farm";"F";"medio";"Bogo";17
"145";"Farm";"F";"medio";"Bogo";17
"146";"Farm";"F";"medio";"Bogo";16
"147";"Farm";"M";"medio";"Bogo";16
"148";"Farm";"F";"bajo";"Bogo";23
"149";"Farm";"F";"medio";"Bogo";17
"150";"Farm";"F";"bajo";"Bogo";16
"151";"Farm";"F";"medio";"Bogo";17
"152";"Farm";"F";"medio";"Bogo";16
"153";"Farm";"F";"medio";"Bogo";18
"154";"Farm";"M";"bajo";"Bogo";23
"155";"Farm";"M";"medio";"Otro";17
"156";"Farm";"M";"medio";"Bogo";23
"157";"Farm";"F";"bajo";"Bogo";17
"158";"Farm";"M";"bajo";"Bogo";20
"159";"Farm";"M";"medio";"Bogo";18
"160";"Farm";"M";"bajo";"Bogo";19
"161";"Farm";"M";"medio";"Bogo";18
"162";"Farm";"M";"medio";"Bogo";18
"163";"Farm";"F";"bajo";"Otro";16
"164";"Farm";"M";"medio";"Bogo";18
"165";"Farm";"F";"bajo";"Bogo";18
"166";"Farm";"M";"bajo";"Bogo";26
"167";"Farm";"F";"bajo";"Bogo";18
"168";"Farm";"M";"bajo";"Bogo";17
"169";"Farm";"F";"medio";"Otro";16
"170";"Farm";"M";"bajo";"Bogo";18
"171";"Farm";"M";"bajo";"Cund";20
"172";"Farm";"M";"bajo";"Cund";18
"173";"Farm";"M";"bajo";"Cund";16
"174";"Farm";"F";"bajo";"Bogo";16
"175";"Farm";"M";"alto";"Bogo";20
"176";"Farm";"F";"medio";"Otro";16
"177";"Farm";"F";"bajo";"Otro";16
"178";"Farm";"M";"medio";"Cund";17
"179";"Farm";"F";"bajo";"Otro";22
"180";"Farm";"F";"bajo";"Bogo";20
"181";"Farm";"M";"medio";"Bogo";17
"182";"Farm";"M";"medio";"Bogo";19
"183";"Farm";"F";"bajo";"Otro";19
"184";"Farm";"M";"medio";"Bogo";17
"185";"Farm";"F";"medio";"Bogo";18
"186";"Farm";"F";"alto";"Bogo";17
"187";"Farm";"M";"bajo";"Bogo";17
"188";"Farm";"F";"alto";"Bogo";17
"189";"Farm";"M";"medio";"Bogo";16
"190";"Farm";"F";"medio";"Bogo";17
"191";"Farm";"M";"bajo";"Bogo";17
"192";"Farm";"F";"medio";"Bogo";18
"193";"Farm";"F";"alto";"Bogo";16
"194";"Farm";"M";"alto";"Bogo";16
"195";"Farm";"M";"bajo";"Bogo";18
"196";"Farm";"M";"alto";"Bogo";16
"197";"Farm";"M";"bajo";"Otro";17
"198";"Farm";"F";"alto";"Otro";17
"199";"Farm";"F";"bajo";"Otro";16
"200";"Farm";"F";"bajo";"Otro";17
"201";"Farm";"M";"bajo";"Otro";17
"202";"Farm";"F";"bajo";"Otro";20
"203";"Fisi";"M";"alto";"Bogo";18
"204";"Fisi";"M";"alto";"Bogo";16
"205";"Fisi";"F";"medio";"Bogo";16
"206";"Fisi";"M";"medio";"Bogo";16
"207";"Fisi";"M";"medio";"Bogo";17
"208";"Fisi";"M";"medio";"Bogo";18
"209";"Fisi";"M";"medio";"Bogo";17
"210";"Fisi";"M";"medio";"Bogo";18
"211";"Fisi";"M";"bajo";"Bogo";16
"212";"Fisi";"M";"medio";"Bogo";19
"213";"Fisi";"M";"bajo";"Bogo";18
"214";"Fisi";"M";"alto";"Bogo";16
"215";"Fisi";"M";"bajo";"Bogo";17
"216";"Fisi";"M";"medio";"Bogo";17
"217";"Fisi";"M";"bajo";"Bogo";18
"218";"Fisi";"M";"alto";"Bogo";16
"219";"Fisi";"M";"alto";"Bogo";17
"220";"Fisi";"M";"medio";"Bogo";40
"221";"Fisi";"M";"alto";"Bogo";17
"222";"Fisi";"M";"alto";"Bogo";17
"223";"Fisi";"F";"bajo";"Bogo";21
"224";"Fisi";"M";"bajo";"Bogo";17
"225";"Fisi";"M";"alto";"Otro";16
"226";"Fisi";"M";"bajo";"Bogo";21
"227";"Fisi";"M";"alto";"Bogo";17
"228";"Fisi";"M";"alto";"Otro";16
"229";"Fisi";"M";"medio";"Bogo";23
"230";"Fisi";"M";"bajo";"Cund";17
"231";"Fisi";"M";"bajo";"Bogo";15
"232";"Fisi";"F";"bajo";"Otro";18
"233";"Fisi";"F";"bajo";"Otro";17
"234";"Fisi";"F";"alto";"Bogo";21
"235";"Fisi";"F";"bajo";"Cund";18
"236";"Fisi";"M";"medio";"Bogo";18
"237";"Fisi";"M";"bajo";"Cund";17
"238";"Fisi";"M";"bajo";"Otro";16
"239";"Fisi";"M";"bajo";"Otro";16
"240";"Fisi";"M";"bajo";"Otro";26
"241";"Fisi";"F";"bajo";"Cund";17
"242";"Fisi";"M";"medio";"Cund";17
"243";"Fisi";"M";"bajo";"Otro";15
"244";"Fisi";"M";"medio";"Otro";17
"245";"Fisi";"M";"medio";"Bogo";17
"246";"Fisi";"F";"medio";"Bogo";17
"247";"Fisi";"M";"medio";"Bogo";17
"248";"Fisi";"M";"medio";"Bogo";17
"249";"Fisi";"M";"medio";"Bogo";17
"250";"Fisi";"M";"alto";"Bogo";17
"251";"Fisi";"F";"alto";"Bogo";17
"252";"Fisi";"M";"medio";"Bogo";17
"253";"Fisi";"M";"bajo";"Otro";19
"254";"Fisi";"M";"medio";"Bogo";16
"255";"Fisi";"M";"medio";"Bogo";17
"256";"Fisi";"F";"alto";"Bogo";16
"257";"Fisi";"F";"alto";"Bogo";16
"258";"Fisi";"M";"medio";"Bogo";17
"259";"Fisi";"M";"alto";"Bogo";16
"260";"Fisi";"M";"medio";"Bogo";18
"261";"Fisi";"M";"alto";"Bogo";18
"262";"Fisi";"M";"alto";"Bogo";18
"263";"Fisi";"M";"alto";"Bogo";32
"264";"Fisi";"M";"bajo";"Otro";16
"265";"Fisi";"M";"medio";"Bogo";20
"266";"Fisi";"M";"bajo";"Bogo";16
"267";"Fisi";"M";"medio";"Bogo";19
"268";"Fisi";"M";"medio";"Bogo";27
"269";"Fisi";"F";"medio";"Bogo";17
"270";"Fisi";"F";"medio";"Bogo";17
"271";"Fisi";"M";"medio";"Bogo";18
"272";"Fisi";"M";"medio";"Bogo";23
"273";"Fisi";"M";"medio";"Bogo";17
"274";"Fisi";"M";"medio";"Bogo";22
"275";"Fisi";"M";"bajo";"Bogo";17
"276";"Fisi";"M";"bajo";"Otro";17
"277";"Fisi";"M";"bajo";"Otro";17
"278";"Fisi";"M";"medio";"Otro";16
"279";"Fisi";"M";"medio";"Otro";17
"280";"Fisi";"M";"medio";"Otro";17
"281";"Fisi";"M";"bajo";"Otro";17
"282";"Fisi";"M";"bajo";"Otro";16
"283";"Fisi";"M";"bajo";"Otro";16
"284";"Fisi";"M";"medio";"Bogo";39
"285";"Geol";"M";"bajo";"Bogo";17
"286";"Geol";"F";"alto";"Bogo";17
"287";"Geol";"M";"medio";"Bogo";17
"288";"Geol";"M";"alto";"Bogo";16
"289";"Geol";"M";"medio";"Bogo";19
"290";"Geol";"M";"medio";"Bogo";17
"291";"Geol";"M";"bajo";"Bogo";17
"292";"Geol";"M";"bajo";"Bogo";17
"293";"Geol";"M";"medio";"Bogo";16
"294";"Geol";"M";"alto";"Bogo";17
"295";"Geol";"M";"alto";"Cund";17
"296";"Geol";"M";"alto";"Cund";17
"297";"Geol";"M";"bajo";"Cund";17
"298";"Geol";"M";"medio";"Cund";16
"299";"Geol";"M";"bajo";"Otro";17
"300";"Geol";"M";"bajo";"Otro";19
"301";"Geol";"M";"bajo";"Bogo";20
"302";"Geol";"M";"bajo";"Bogo";16
"303";"Geol";"F";"bajo";"Otro";17
"304";"Geol";"M";"bajo";"Cund";25
"305";"Geol";"M";"medio";"Otro";17
"306";"Geol";"M";"alto";"Otro";16
"307";"Geol";"F";"medio";"Bogo";16
"308";"Geol";"M";"alto";"Bogo";16
"309";"Geol";"M";"bajo";"Otro";15
"310";"Geol";"M";"alto";"Bogo";18
"311";"Geol";"F";"alto";"Bogo";17
"312";"Geol";"M";"alto";"Bogo";16
"313";"Geol";"F";"medio";"Bogo";17
"314";"Geol";"F";"alto";"Bogo";18
"315";"Geol";"M";"alto";"Bogo";17
"316";"Geol";"F";"alto";"Bogo";16
"317";"Geol";"M";"bajo";"Otro";17
"318";"Geol";"M";"alto";"Bogo";16
"319";"Geol";"F";"bajo";"Bogo";21
"320";"Geol";"M";"medio";"Bogo";17
"321";"Geol";"M";"alto";"Bogo";17
"322";"Geol";"M";"bajo";"Bogo";20
"323";"Geol";"M";"alto";"Bogo";17
"324";"Geol";"M";"alto";"Bogo";17
"325";"Geol";"M";"alto";"Bogo";17
"326";"Geol";"M";"bajo";"Bogo";17
"327";"Geol";"M";"bajo";"Bogo";17
"328";"Geol";"M";"bajo";"Otro";17
"329";"Geol";"M";"bajo";"Otro";19
"330";"Mate";"F";"medio";"Bogo";31
"331";"Mate";"M";"bajo";"Bogo";17
"332";"Mate";"M";"medio";"Bogo";18
"333";"Mate";"M";"medio";"Bogo";17
"334";"Mate";"M";"medio";"Bogo";20
"335";"Mate";"M";"medio";"Bogo";16
"336";"Mate";"M";"medio";"Bogo";18
"337";"Mate";"M";"medio";"Bogo";23
"338";"Mate";"F";"medio";"Bogo";17
"339";"Mate";"M";"medio";"Bogo";17
"340";"Mate";"M";"medio";"Bogo";17
"341";"Mate";"M";"medio";"Bogo";18
"342";"Mate";"M";"bajo";"Bogo";20
"343";"Mate";"M";"medio";"Cund";15
"344";"Mate";"M";"bajo";"Otro";16
"345";"Mate";"M";"bajo";"Cund";17
"346";"Mate";"M";"medio";"Bogo";28
"347";"Mate";"M";"bajo";"Bogo";18
"348";"Mate";"M";"medio";"Otro";17
"349";"Mate";"M";"medio";"Bogo";21
"350";"Mate";"M";"medio";"Bogo";19
"351";"Mate";"M";"bajo";"Bogo";21
"352";"Mate";"M";"bajo";"Bogo";16
"353";"Mate";"M";"bajo";"Bogo";44
"354";"Mate";"M";"bajo";"Bogo";25
"355";"Mate";"F";"bajo";"Cund";19
"356";"Mate";"M";"alto";"Bogo";17
"357";"Mate";"M";"bajo";"Bogo";17
"358";"Mate";"M";"medio";"Bogo";18
"359";"Mate";"M";"alto";"Bogo";17
"360";"Mate";"M";"bajo";"Bogo";24
"361";"Mate";"M";"medio";"Otro";20
"362";"Mate";"M";"medio";"Bogo";20
"363";"Mate";"M";"alto";"Otro";16
"364";"Mate";"M";"bajo";"Cund";23
"365";"Mate";"M";"bajo";"Otro";16
"366";"Mate";"M";"alto";"Bogo";30
"367";"Mate";"M";"bajo";"Bogo";17
"368";"Mate";"M";"alto";"Bogo";19
"369";"Mate";"M";"medio";"Bogo";17
"370";"Mate";"M";"bajo";"Bogo";16
"371";"Mate";"M";"alto";"Bogo";29
"372";"Mate";"M";"bajo";"Otro";25
"373";"Mate";"M";"medio";"Bogo";17
"374";"Mate";"F";"medio";"Bogo";16
"375";"Mate";"M";"medio";"Bogo";30
"376";"Mate";"F";"medio";"Bogo";19
"377";"Mate";"M";"medio";"Bogo";16
"378";"Mate";"M";"bajo";"Otro";19
"379";"Mate";"M";"bajo";"Otro";25
"380";"Mate";"F";"alto";"Otro";16
"381";"Mate";"M";"bajo";"Otro";16
"382";"Mate";"M";"bajo";"Otro";17
"383";"Quim";"F";"medio";"Bogo";16
"384";"Quim";"F";"bajo";"Bogo";18
"385";"Quim";"F";"medio";"Bogo";18
"386";"Quim";"M";"alto";"Bogo";16
"387";"Quim";"M";"medio";"Bogo";21
"388";"Quim";"M";"medio";"Bogo";19
"389";"Quim";"M";"bajo";"Bogo";16
"390";"Quim";"M";"bajo";"Bogo";16
"391";"Quim";"F";"medio";"Bogo";16
"392";"Quim";"M";"medio";"Bogo";20
"393";"Quim";"F";"bajo";"Bogo";18
"394";"Quim";"M";"alto";"Bogo";17
"395";"Quim";"M";"medio";"Bogo";18
"396";"Quim";"M";"bajo";"Bogo";19
"397";"Quim";"M";"medio";"Bogo";21
"398";"Quim";"F";"bajo";"Cund";16
"399";"Quim";"M";"bajo";"Bogo";20
"400";"Quim";"F";"bajo";"Bogo";18
"401";"Quim";"M";"medio";"Bogo";16
"402";"Quim";"M";"bajo";"Bogo";17
"403";"Quim";"M";"medio";"Bogo";23
"404";"Quim";"M";"bajo";"Otro";16
"405";"Quim";"M";"bajo";"Otro";18
"406";"Quim";"M";"bajo";"Cund";19
"407";"Quim";"M";"bajo";"Bogo";19
"408";"Quim";"M";"bajo";"Otro";16
"409";"Quim";"F";"bajo";"Otro";16
"410";"Quim";"F";"medio";"Otro";17
"411";"Quim";"M";"alto";"Bogo";18
"412";"Quim";"M";"medio";"Cund";16
"413";"Quim";"M";"medio";"Cund";17
"414";"Quim";"M";"medio";"Cund";17
"415";"Quim";"M";"medio";"Cund";16
"416";"Quim";"M";"bajo";"Cund";27
"417";"Quim";"F";"bajo";"Otro";16
"418";"Quim";"M";"bajo";"Otro";16
"419";"Quim";"M";"bajo";"Cund";23
"420";"Quim";"F";"alto";"Otro";17
"421";"Quim";"M";"medio";"Otro";15
"422";"Quim";"M";"bajo";"Otro";17
"423";"Quim";"F";"alto";"Otro";17
"424";"Quim";"F";"medio";"Bogo";16
"425";"Quim";"M";"alto";"Bogo";16
"426";"Quim";"M";"medio";"Otro";16
"427";"Quim";"F";"medio";"Bogo";16
"428";"Quim";"M";"alto";"Bogo";17
"429";"Quim";"F";"bajo";"Bogo";17
"430";"Quim";"F";"medio";"Bogo";16
"431";"Quim";"F";"medio";"Bogo";16
"432";"Quim";"M";"alto";"Bogo";17
"433";"Quim";"F";"bajo";"Bogo";16
"434";"Quim";"M";"bajo";"Bogo";19
"435";"Quim";"M";"bajo";"Bogo";17
"436";"Quim";"M";"bajo";"Bogo";17
"437";"Quim";"M";"medio";"Bogo";21
"438";"Quim";"M";"medio";"Bogo";17
"439";"Quim";"F";"medio";"Bogo";17
"440";"Quim";"F";"bajo";"Bogo";17
"441";"Quim";"M";"bajo";"Otro";19
"442";"Quim";"M";"bajo";"Otro";16
"443";"Quim";"M";"bajo";"Otro";16
"444";"Quim";"M";"bajo";"Otro";18
"445";"Quim";"F";"bajo";"Otro";17
